[2026-03-16 05:41:17 UTC] Endurance test started — PID 82923
[2026-03-16 06:55:30 UTC] ⚠️ 429 at request #3951 (B0BRJM8BGY)
[2026-03-16 06:55:31 UTC] ⚠️ 429 at request #3952 (B0B7CPSN2K)
[2026-03-16 06:55:32 UTC] ⚠️ 429 at request #3953 (B09HN37XDT)
[2026-03-16 06:55:33 UTC] ⚠️ 429 at request #3954 (B0BG9433MV)
[2026-03-16 06:55:34 UTC] ⚠️ 429 at request #3955 (B0BG94CL5Y)
[2026-03-16 06:55:35 UTC] ⚠️ 429 at request #3956 (B0C75FL2PK)
[2026-03-16 06:55:36 UTC] ⚠️ 429 at request #3957 (B0CH54XPNW)
[2026-03-16 06:55:37 UTC] ⚠️ 429 at request #3958 (B0C4HSLJR3)
[2026-03-16 06:55:38 UTC] ⚠️ 429 at request #3959 (B0CX5C6SL7)
[2026-03-16 06:55:39 UTC] ⚠️ 429 at request #3960 (B0CR1JKLDL)
[2026-03-16 06:55:40 UTC] ⚠️ 429 at request #3961 (B0D1XD1ZV3)
[2026-03-16 06:55:41 UTC] ⚠️ 429 at request #3962 (B09V3KXJPB)
[2026-03-16 06:55:42 UTC] ⚠️ 429 at request #3963 (B0BSHF7WHW)
[2026-03-16 06:55:43 UTC] ⚠️ 429 at request #3964 (B07FZ8S74R)
[2026-03-16 06:55:44 UTC] ⚠️ 429 at request #3965 (B09JQL3NWT)
[2026-03-16 06:55:45 UTC] ⚠️ 429 at request #3966 (B0CX23V2ZK)
[2026-03-16 06:55:46 UTC] ⚠️ 429 at request #3967 (B08N5WRWNW)
[2026-03-16 06:55:47 UTC] ⚠️ 429 at request #3968 (B0CHX1W1XY)
[2026-03-16 06:55:48 UTC] ⚠️ 429 at request #3969 (B09B8DQ26F)
[2026-03-16 06:55:49 UTC] ⚠️ 429 at request #3970 (B0CL5KNB9M)
[2026-03-16 06:55:51 UTC] ⚠️ 429 at request #3971 (B0C1H26C46)
[2026-03-16 06:55:52 UTC] ⚠️ 429 at request #3972 (B0BDHWDR12)
[2026-03-16 06:55:53 UTC] ⚠️ 429 at request #3973 (B09JQMJHXY)
[2026-03-16 06:55:54 UTC] ⚠️ 429 at request #3974 (B07ZPKN6YR)
[2026-03-16 06:55:55 UTC] ⚠️ 429 at request #3975 (B08BHXG144)
[2026-03-16 06:55:56 UTC] ⚠️ 429 at request #3976 (B0CHWRXH8B)
[2026-03-16 06:55:57 UTC] ⚠️ 429 at request #3977 (B0931VRJT5)
[2026-03-16 06:55:58 UTC] ⚠️ 429 at request #3978 (B0BDJ279KF)
[2026-03-16 06:55:59 UTC] ⚠️ 429 at request #3979 (B0BTJ6KBVB)
[2026-03-16 06:56:00 UTC] ⚠️ 429 at request #3980 (B0CFWQSDWQ)
[2026-03-16 06:56:01 UTC] ⚠️ 429 at request #3981 (B0BN72Y6WP)
[2026-03-16 06:56:02 UTC] ⚠️ 429 at request #3982 (B0CG1B94S3)
[2026-03-16 06:56:03 UTC] ⚠️ 429 at request #3983 (B0BTFKXQFL)
[2026-03-16 06:56:04 UTC] ⚠️ 429 at request #3984 (B0CZSGWLD9)
[2026-03-16 06:56:05 UTC] ⚠️ 429 at request #3985 (B0D1222MRK)
[2026-03-16 06:56:06 UTC] ⚠️ 429 at request #3986 (B0DJM1ZV5J)
[2026-03-16 06:56:07 UTC] ⚠️ 429 at request #3987 (B0DJZFX7DC)
[2026-03-16 06:56:08 UTC] ⚠️ 429 at request #3988 (B0D77BX6LV)
[2026-03-16 06:56:09 UTC] ⚠️ 429 at request #3989 (B0DGJGJK58)
[2026-03-16 06:56:10 UTC] ⚠️ 429 at request #3990 (B0C8PSRWFM)
[2026-03-16 06:56:11 UTC] ⚠️ 429 at request #3991 (B0BT2KFJ2V)
[2026-03-16 06:56:13 UTC] ⚠️ 429 at request #3992 (B0D5B9V3XQ)
[2026-03-16 06:56:14 UTC] ⚠️ 429 at request #3993 (B0CJCJHXHF)
[2026-03-16 06:56:15 UTC] ⚠️ 429 at request #3994 (B09HSR83TV)
[2026-03-16 06:56:16 UTC] ⚠️ 429 at request #3995 (B0BXN2FK8P)
[2026-03-16 06:56:17 UTC] ⚠️ 429 at request #3996 (B0CSTJ2Y5F)
[2026-03-16 06:56:18 UTC] ⚠️ 429 at request #3997 (B0CY63ZJWT)
[2026-03-16 06:56:19 UTC] ⚠️ 429 at request #3998 (B0D4JRKNMD)
[2026-03-16 06:56:20 UTC] ⚠️ 429 at request #3999 (B0D24JKRM4)
[2026-03-16 06:56:21 UTC] ⚠️ 429 at request #4000 (B0CYPSNTT6)
[2026-03-16 07:08:30 UTC] ⚠️ 429 at request #4649 (B0DGJGJK58)
[2026-03-16 07:08:31 UTC] ⚠️ 429 at request #4650 (B0C8PSRWFM)
[2026-03-16 07:08:33 UTC] ⚠️ 429 at request #4651 (B0BT2KFJ2V)
[2026-03-16 07:08:34 UTC] ⚠️ 429 at request #4652 (B0D5B9V3XQ)
[2026-03-16 07:08:35 UTC] ⚠️ 429 at request #4653 (B0CJCJHXHF)
[2026-03-16 07:08:36 UTC] ⚠️ 429 at request #4654 (B09HSR83TV)
[2026-03-16 07:08:37 UTC] ⚠️ 429 at request #4655 (B0BXN2FK8P)
[2026-03-16 07:08:38 UTC] ⚠️ 429 at request #4656 (B0CSTJ2Y5F)
[2026-03-16 07:08:39 UTC] ⚠️ 429 at request #4657 (B0CY63ZJWT)
[2026-03-16 07:08:40 UTC] ⚠️ 429 at request #4658 (B0D4JRKNMD)
[2026-03-16 07:08:41 UTC] ⚠️ 429 at request #4659 (B0D24JKRM4)
[2026-03-16 07:08:42 UTC] ⚠️ 429 at request #4660 (B0CYPSNTT6)
[2026-03-16 07:08:43 UTC] ⚠️ 429 at request #4661 (B0DFDJHQ6Z)
[2026-03-16 07:08:44 UTC] ⚠️ 429 at request #4662 (B0DL13VQPZ)
[2026-03-16 07:08:45 UTC] ⚠️ 429 at request #4663 (B0DDRG9V47)
[2026-03-16 07:08:46 UTC] ⚠️ 429 at request #4664 (B0DDT7MFJH)
[2026-03-16 07:08:47 UTC] ⚠️ 429 at request #4665 (B0D9JG3QCP)
[2026-03-16 07:08:48 UTC] ⚠️ 429 at request #4666 (B0CJ4DKFRG)
[2026-03-16 07:08:49 UTC] ⚠️ 429 at request #4667 (B0CHML68V7)
[2026-03-16 07:08:50 UTC] ⚠️ 429 at request #4668 (B0CJ3F5FJP)
[2026-03-16 07:08:51 UTC] ⚠️ 429 at request #4669 (B0CMK3JWY1)
[2026-03-16 07:08:52 UTC] ⚠️ 429 at request #4670 (B0BQXKW8JN)
[2026-03-16 07:08:53 UTC] ⚠️ 429 at request #4671 (B0BRJM8BGY)
